Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Trey Mancini DH,Jul 29,2,1,1,1,3,0,5,0.272,0.352,0.412,0.764,20,7,0.21,1.16,0.22,-0.01%,0.10%,0.88,2.4,,,,1
Anthony Santander RF,Jul 29,4,1,3,2,0,1,5,0.251,0.336,0.447,0.783,19,13,0.244,1.55,0.342,-0.10%,0.11%,1.19,2.5,1,0,"HR,HBP",1
Ryan Mountcastle 1B,Jul 29,4,0,0,1,0,1,5,0.254,0.292,0.439,0.731,19,12,-0.207,1.8,0.006,-0.21%,-0.10%,1.38,-1.7,6,0,SF,1
Austin Hays LF,Jul 29,5,0,1,0,0,1,5,0.263,0.32,0.438,0.758,20,15,-0.156,1.58,0.063,-0.22%,-0.07%,1.21,-1.4,1,0,GDP,1
Ramon Urias 3B,Jul 29,2,0,0,0,2,0,4,0.258,0.305,0.45,0.755,18,6,0.024,1.72,0.13,-0.11%,0.01%,1.31,-0.2,3,2,,1
Rougned Odor 2B,Jul 29,4,1,1,0,0,1,4,0.201,0.261,0.384,0.645,17,11,0.109,2.06,0.233,-0.12%,0.05%,1.57,0,2,4,2B,1
Jorge Mateo SS,Jul 29,4,0,1,0,0,1,4,0.214,0.262,0.372,0.633,14,11,-0.112,1.42,0.05,-0.16%,-0.05%,1.09,-0.9,0,1,3B,1
Cedric Mullins CF,Jul 30,4,0,0,0,0,1,4,0.256,0.318,0.381,0.699,20,12,-0.055,0.51,0,-0.06%,-0.03%,0.42,-0.7,4,0,,1
Adley Rutschman C,Jul 30,4,1,2,0,0,1,4,0.246,0.343,0.433,0.776,14,11,-0.007,0.51,0.028,-0.04%,0.00%,0.42,0.2,8,0,,1
Trey Mancini 1B,Jul 30,4,1,1,0,0,2,4,0.272,0.351,0.41,0.761,21,14,0.051,0.76,0.079,-0.03%,0.03%,0.63,0.2,6,0,,1
Anthony Santander RF,Jul 30,4,0,1,1,0,0,4,0.251,0.335,0.445,0.78,18,12,0.097,0.64,0.114,-0.02%,0.05%,0.53,0.5,3,1,GDP,1
Austin Hays LF,Jul 30,3,0,0,0,0,2,3,0.261,0.318,0.434,0.752,9,8,-0.057,0.69,0,-0.06%,-0.03%,0.57,-0.9,1,0,,1
Rougned Odor 2B,Jul 30,3,0,0,0,0,2,3,0.199,0.259,0.379,0.638,16,11,-0.047,0.57,0,-0.05%,-0.02%,0.47,-0.7,2,2,,1
