Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Cedric Mullins CF,Aug 30,4,0,0,0,0,2,4,0.265,0.327,0.4,0.727,15,11,-0.064,0.84,0.01,-0.07%,-0.05%,1.02,-0.7,2,0,SB,1
Adley Rutschman C,Aug 30,4,0,0,0,0,1,4,0.25,0.358,0.436,0.794,17,12,-0.059,0.61,0,-0.06%,-0.04%,0.74,-0.7,5,2,,1
Anthony Santander DH,Aug 30,3,0,0,0,1,1,4,0.257,0.335,0.456,0.79,21,13,0.006,0.56,0.025,-0.02%,0.00%,0.68,0.2,,,,1
Ramon Urias 3B,Aug 30,4,1,1,0,0,0,4,0.246,0.29,0.414,0.705,18,15,-0.023,0.86,0.038,-0.06%,-0.02%,1.04,-0.5,2,1,,1
Kyle Stowers LF,Aug 30,3,0,0,0,1,2,4,0.226,0.294,0.355,0.649,16,10,0.01,0.84,0.059,-0.05%,0.01%,1.01,-0.3,1,0,GDP,1
Austin Hays RF,Aug 30,3,0,0,0,0,0,3,0.255,0.31,0.429,0.739,9,8,-0.049,1.01,0,-0.05%,-0.03%,1.22,-0.6,3,0,,1
Ryan Mountcastle 1B,Aug 30,1,0,0,1,1,0,3,0.243,0.291,0.42,0.711,9,4,0.011,0.88,0.022,-0.01%,0.01%,1.06,0.1,10,0,SF,1
Rougned Odor 2B,Aug 30,3,0,0,0,0,0,3,0.197,0.264,0.353,0.617,9,4,-0.063,0.8,0,-0.06%,-0.05%,0.97,-0.7,1,1,,1
Jorge Mateo SS,Aug 30,2,0,0,0,1,0,3,0.229,0.277,0.399,0.676,19,12,0.001,0.74,0.034,-0.03%,0.00%,0.89,0,0,3,,1
Cedric Mullins CF,Aug 31,5,0,1,0,0,2,5,0.264,0.325,0.398,0.724,24,16,0.022,0.69,0.075,-0.05%,0.01%,0.75,-0.5,0,0,,1
Adley Rutschman C,Aug 31,3,1,0,0,1,1,4,0.247,0.357,0.431,0.788,16,9,-0.09,0.9,0.012,-0.10%,-0.06%,0.98,-0.7,3,0,,1
Anthony Santander RF,Aug 31,3,0,1,0,1,2,4,0.257,0.336,0.455,0.791,23,15,0.016,0.83,0.039,-0.02%,0.01%,0.92,0,1,0,,1
Ramon Urias DH,Aug 31,3,1,1,3,1,2,4,0.246,0.293,0.422,0.715,24,12,0.18,1.29,0.217,-0.04%,0.12%,1.41,2.4,,,HR,1
Ryan Mountcastle 1B,Aug 31,4,0,1,0,0,0,4,0.243,0.29,0.419,0.709,10,8,-0.043,1.05,0.038,-0.08%,-0.03%,1.16,-0.6,11,1,,1
Gunnar Henderson 3B,Aug 31,4,1,2,1,0,0,4,0.5,0.5,1.25,1.75,17,12,0.028,0.7,0.113,-0.09%,0.02%,0.77,0.5,4,3,HR,1
Austin Hays LF,Aug 31,4,0,0,0,0,2,4,0.252,0.308,0.425,0.733,12,8,-0.043,0.43,0,-0.04%,-0.03%,0.47,-0.9,3,0,,1
Rougned Odor 2B,Aug 31,4,1,2,0,0,2,4,0.201,0.266,0.354,0.621,11,9,0.021,0.48,0.043,-0.02%,0.01%,0.53,0.5,3,5,,1
Jorge Mateo SS,Aug 31,4,0,0,0,0,1,4,0.226,0.274,0.396,0.67,19,11,-0.055,0.59,0,-0.06%,-0.04%,0.65,-0.9,1,3,,1
Cedric Mullins CF,Sep 1,4,1,1,1,0,1,4,0.264,0.325,0.403,0.728,8,6,0.06,0.62,0.103,-0.04%,0.04%,0.72,0.2,2,0,HR,1
Adley Rutschman C,Sep 1,4,0,0,0,0,1,4,0.244,0.353,0.425,0.778,25,15,-0.05,0.5,0,-0.05%,-0.03%,0.58,-0.8,9,0,,1
Anthony Santander RF,Sep 1,4,1,1,1,0,2,4,0.257,0.335,0.46,0.795,14,10,0.076,0.35,0.098,-0.02%,0.05%,0.41,0.6,2,0,HR,1
Ramon Urias 3B,Sep 1,3,0,1,0,1,0,4,0.247,0.295,0.422,0.716,17,9,0.015,0.32,0.027,-0.01%,0.01%,0.37,0.1,0,2,,1
Gunnar Henderson SS,Sep 1,4,0,1,0,0,1,4,0.375,0.375,0.75,1.125,19,12,-0.037,0.41,0.008,-0.05%,-0.03%,0.48,-0.1,1,2,SB,1
Jesus Aguilar DH,Sep 1,4,0,0,0,0,3,4,0.234,0.284,0.384,0.668,13,11,-0.043,0.41,0,-0.04%,-0.03%,0.47,-0.9,,,,1
Ryan Mountcastle 1B,Sep 1,4,1,1,1,0,1,4,0.243,0.29,0.424,0.714,14,9,0.061,0.41,0.09,-0.03%,0.04%,0.48,0.2,8,2,HR,1
Rougned Odor 2B,Sep 1,4,0,2,0,0,1,4,0.204,0.268,0.356,0.624,13,9,0.035,0.36,0.048,-0.01%,0.02%,0.41,0.5,0,2,SB,1
Terrin Vavra LF,Sep 1,3,0,0,0,0,3,3,0.229,0.316,0.292,0.607,13,9,-0.051,0.57,0,-0.05%,-0.03%,0.66,-0.9,2,0,,1
Ryan McKenna CF,Sep 2,4,0,1,0,0,2,4,0.252,0.306,0.363,0.669,12,10,-0.081,1.2,0.035,-0.12%,-0.06%,1.35,-0.5,3,0,,1
Anthony Santander RF,Sep 2,3,1,0,0,1,1,4,0.255,0.335,0.457,0.791,15,8,-0.029,1.42,0.064,-0.09%,-0.02%,1.6,-0.5,2,0,,1
Ryan Mountcastle DH,Sep 2,3,1,2,1,1,0,4,0.246,0.294,0.426,0.72,16,9,0.19,1.53,0.218,-0.03%,0.13%,1.73,1.4,1,0,,1
Ramon Urias 3B,Sep 2,3,0,1,0,0,1,4,0.248,0.295,0.424,0.719,13,8,0.104,1.52,0.142,-0.04%,0.07%,1.71,0.3,1,4,"2B,SH",1
Jesus Aguilar 1B,Sep 2,3,0,0,0,0,0,3,0.232,0.282,0.382,0.663,5,3,-0.166,1.27,0,-0.17%,-0.11%,1.43,-1.4,6,0,,1
Austin Hays LF,Sep 2,3,0,1,0,0,1,3,0.253,0.308,0.424,0.732,13,9,-0.06,1.28,0.026,-0.09%,-0.04%,1.44,-0.4,1,0,,1
Jorge Mateo SS,Sep 2,4,0,1,2,0,1,4,0.227,0.274,0.394,0.668,7,7,-0.041,1.09,0.057,-0.10%,-0.03%,1.23,0.5,1,2,GDP,1
Gunnar Henderson 2B,Sep 2,4,1,2,0,0,1,4,0.417,0.417,0.833,1.25,12,9,0.109,0.88,0.144,-0.04%,0.07%,0.99,0.3,2,1,2·2B,1
Robinson Chirinos C,Sep 2,4,1,1,1,0,0,4,0.183,0.272,0.29,0.562,18,10,0.02,1.14,0.106,-0.09%,0.01%,1.29,0.1,9,0,2B,1
Cedric Mullins CF,Sep 3,4,2,1,1,1,2,5,0.264,0.327,0.408,0.735,21,11,0.06,0.48,0.093,-0.03%,0.04%,0.54,0.6,2,0,HR,1
Adley Rutschman C,Sep 3,5,1,2,2,0,1,5,0.247,0.355,0.435,0.79,27,18,-0.053,0.54,0.007,-0.06%,-0.04%,0.61,0.8,10,0,HR,1
Anthony Santander DH,Sep 3,4,2,1,1,1,0,5,0.255,0.335,0.461,0.797,19,8,0.029,0.42,0.059,-0.03%,0.02%,0.48,0.6,,,HR,1
Ryan Mountcastle 1B,Sep 3,4,2,2,4,0,0,4,0.248,0.296,0.44,0.735,12,9,0.358,0.51,0.361,0.00%,0.24%,0.58,3.3,5,2,2·HR,1
Gunnar Henderson 3B,Sep 3,3,0,1,0,1,0,4,0.4,0.438,0.733,1.171,14,8,0,0.2,0.011,-0.01%,0%,0.23,0.1,0,0,,1
Austin Hays LF,Sep 3,3,0,1,0,1,0,4,0.253,0.309,0.426,0.735,14,10,-0.008,0.26,0.012,-0.02%,-0.01%,0.29,0,2,0,2B,1
Kyle Stowers RF,Sep 3,3,0,1,0,0,0,3,0.235,0.297,0.353,0.65,9,6,-0.014,0.44,0.009,-0.02%,-0.01%,0.51,-0.3,2,0,,1
Rougned Odor 2B,Sep 3,4,0,0,0,0,3,4,0.202,0.266,0.352,0.618,22,14,-0.041,0.4,0,-0.04%,-0.03%,0.46,-1.2,2,1,,1
Jorge Mateo SS,Sep 3,4,1,2,0,0,0,4,0.229,0.276,0.398,0.674,13,8,0.019,0.24,0.029,-0.01%,0.01%,0.27,0.6,1,3,"2B,SB",1
Cedric Mullins CF,Sep 4,4,0,1,0,0,1,4,0.264,0.326,0.409,0.735,17,10,-0.051,0.57,0.004,-0.06%,-0.03%,0.64,-0.4,3,0,2B,1
Adley Rutschman DH,Sep 4,3,0,1,0,1,1,4,0.247,0.357,0.434,0.791,18,10,0.03,0.42,0.045,-0.02%,0.02%,0.47,0.1,0,0,,1
Anthony Santander RF,Sep 4,4,0,2,0,0,0,4,0.257,0.336,0.464,0.8,23,15,0.03,0.82,0.092,-0.06%,0.02%,0.92,0.5,3,0,"2B,GDP",1
Ryan Mountcastle 1B,Sep 4,4,0,0,0,0,1,4,0.246,0.293,0.436,0.729,11,10,-0.127,0.81,0,-0.13%,-0.09%,0.91,-1.6,11,1,,1
Gunnar Henderson 2B,Sep 4,4,0,0,0,0,1,4,0.316,0.35,0.579,0.929,14,11,-0.073,0.69,0,-0.07%,-0.05%,0.77,-1,2,5,,1
Ramon Urias 3B,Sep 4,3,0,2,0,1,0,4,0.251,0.3,0.426,0.726,18,11,0.027,0.57,0.053,-0.03%,0.02%,0.65,0.5,0,4,,1
Austin Hays LF,Sep 4,4,0,0,0,0,1,4,0.251,0.307,0.422,0.729,19,13,-0.073,0.75,0,-0.07%,-0.05%,0.84,-1.2,3,0,,1
Jorge Mateo SS,Sep 4,2,0,0,0,1,0,3,0.228,0.277,0.396,0.672,12,5,-0.043,0.71,0.022,-0.07%,-0.03%,0.8,-0.5,2,2,"SB,GDP",1
Robinson Chirinos C,Sep 4,2,0,0,0,0,1,2,0.181,0.269,0.287,0.556,9,6,-0.055,1.01,0,-0.06%,-0.04%,1.13,-0.5,2,0,,1
Cedric Mullins CF,Sep 5,4,0,0,0,0,0,4,0.262,0.324,0.406,0.729,12,9,-0.145,1.38,0,-0.15%,-0.13%,2.11,-1,2,0,,1
Adley Rutschman C,Sep 5,4,1,2,0,0,1,4,0.251,0.359,0.435,0.794,14,8,0.084,1.37,0.141,-0.06%,0.08%,2.1,0.6,6,1,,1
Anthony Santander RF,Sep 5,4,2,2,2,0,1,4,0.259,0.338,0.477,0.814,25,16,0.116,1.4,0.227,-0.11%,0.11%,2.14,1.2,3,0,2·HR,1
Ryan Mountcastle 1B,Sep 5,4,0,1,1,0,2,4,0.246,0.293,0.436,0.729,14,10,0.067,1.43,0.168,-0.10%,0.06%,2.19,0.5,11,0,2B,1
Ramon Urias 3B,Sep 5,3,0,0,0,0,2,3,0.249,0.298,0.422,0.72,11,10,-0.129,1.57,0,-0.13%,-0.12%,2.41,-0.9,0,0,,1
Gunnar Henderson 2B,Sep 5,4,0,1,0,0,1,4,0.304,0.333,0.522,0.855,15,10,-0.034,1.11,0.053,-0.09%,-0.03%,1.7,-0.3,2,4,,1
Jesus Aguilar DH,Sep 5,4,0,1,0,0,1,4,0.232,0.281,0.379,0.66,13,9,0.019,1.17,0.083,-0.06%,0.02%,1.79,0.1,,,,1
Austin Hays LF,Sep 5,4,0,1,0,0,1,4,0.251,0.306,0.421,0.727,11,9,-0.053,1.36,0.054,-0.11%,-0.05%,2.08,-0.7,2,0,,1
Jorge Mateo SS,Sep 5,3,0,0,0,0,0,3,0.227,0.275,0.393,0.668,10,5,-0.145,2.08,0,-0.15%,-0.13%,3.18,-0.9,1,8,,1
Cedric Mullins CF,Sep 5,4,0,0,1,0,0,5,0.26,0.322,0.402,0.724,17,11,-0.033,0.76,0.039,-0.07%,-0.03%,1.06,0.2,3,0,,2
Adley Rutschman DH,Sep 5,5,1,3,2,0,0,5,0.257,0.362,0.451,0.813,14,11,0.033,0.68,0.072,-0.04%,0.03%,0.95,1.4,,,"HR,2B",2
Anthony Santander RF,Sep 5,5,0,0,0,0,0,5,0.257,0.335,0.472,0.806,20,11,-0.102,0.8,0,-0.10%,-0.09%,1.12,-1.6,2,0,,2
Ryan Mountcastle 1B,Sep 5,3,0,0,0,1,0,4,0.245,0.292,0.433,0.726,17,9,-0.072,0.79,0.008,-0.08%,-0.06%,1.11,-0.8,11,0,,2
Gunnar Henderson SS,Sep 5,4,0,1,0,0,2,4,0.296,0.321,0.481,0.803,17,10,-0.008,0.68,0.037,-0.05%,-0.01%,0.96,-0.4,1,4,,2
Ramon Urias 3B,Sep 5,4,0,2,0,0,0,4,0.252,0.3,0.423,0.723,15,11,-0.042,0.69,0.041,-0.08%,-0.03%,0.97,-0.5,0,4,GDP,2
Rougned Odor 2B,Sep 5,3,2,1,1,1,0,4,0.203,0.268,0.36,0.628,11,5,0.075,0.62,0.121,-0.05%,0.06%,0.88,0.8,1,1,HR,2
Kyle Stowers LF,Sep 5,4,1,2,0,0,0,4,0.256,0.31,0.359,0.668,10,6,-0.01,0.45,0.023,-0.03%,-0.01%,0.64,0.3,1,0,,2
Robinson Chirinos C,Sep 5,4,0,1,0,0,1,4,0.183,0.269,0.286,0.555,15,10,-0.033,0.66,0.023,-0.06%,-0.03%,0.92,0.2,8,0,,2
Cedric Mullins CF,Sep 6,4,2,2,1,0,1,5,0.262,0.324,0.403,0.727,19,13,0.168,1.14,0.2,-0.03%,0.12%,1.32,1.6,3,0,"SB,HBP",1
Adley Rutschman C,Sep 6,3,2,1,2,2,1,5,0.257,0.365,0.453,0.818,23,11,0.172,1.09,0.2,-0.03%,0.12%,1.27,1.6,9,1,2B,1
Anthony Santander RF,Sep 6,4,0,0,2,1,0,5,0.255,0.333,0.468,0.801,27,17,0.027,1.02,0.072,-0.04%,0.02%,1.19,0.4,2,0,,1
Ryan Mountcastle 1B,Sep 6,5,1,2,3,0,1,5,0.246,0.294,0.433,0.727,13,9,0.048,0.94,0.107,-0.06%,0.03%,1.1,1.7,10,0,,1
Ramon Urias 3B,Sep 6,4,0,1,0,1,0,5,0.252,0.301,0.421,0.722,16,9,0.052,0.58,0.07,-0.02%,0.04%,0.67,0.1,0,2,,1
Gunnar Henderson DH,Sep 6,4,0,1,1,0,1,4,0.29,0.313,0.452,0.764,11,7,0.05,1.05,0.111,-0.06%,0.03%,1.22,0.7,,,,1
Austin Hays LF,Sep 6,4,0,0,0,0,0,4,0.249,0.304,0.417,0.721,9,7,-0.105,0.89,0,-0.11%,-0.07%,1.03,-1.4,2,0,,1
Rougned Odor 2B,Sep 6,3,2,1,0,1,2,4,0.204,0.27,0.362,0.633,18,10,0.016,0.79,0.065,-0.05%,0.01%,0.92,0.1,1,4,2B,1
Jorge Mateo SS,Sep 6,3,2,1,0,1,1,4,0.227,0.277,0.397,0.674,22,12,0.056,0.83,0.091,-0.04%,0.04%,0.97,0.3,0,3,3B,1
Cedric Mullins CF,Sep 7,4,0,0,0,0,0,4,0.26,0.322,0.4,0.722,9,6,-0.081,0.8,0,-0.08%,-0.07%,1.06,-0.8,2,0,,1
Adley Rutschman C,Sep 7,4,0,1,0,0,2,4,0.257,0.364,0.453,0.818,20,14,-0.011,0.72,0.044,-0.06%,-0.01%,0.97,-0.1,6,0,2B,1
Anthony Santander RF,Sep 7,4,1,1,0,0,0,4,0.255,0.333,0.466,0.799,15,11,-0.049,0.7,0.012,-0.06%,-0.04%,0.94,-0.4,3,0,,1
Ryan Mountcastle 1B,Sep 7,4,0,1,1,0,2,4,0.246,0.293,0.434,0.727,10,8,0.051,0.82,0.117,-0.07%,0.04%,1.1,0.4,9,0,2B,1
Gunnar Henderson DH,Sep 7,2,0,0,0,1,0,3,0.273,0.314,0.424,0.739,14,7,-0.036,1,0.01,-0.05%,-0.03%,1.34,-0.3,,,,1
Kyle Stowers LF,Sep 7,3,0,0,0,0,0,3,0.238,0.289,0.333,0.622,11,6,-0.072,0.91,0,-0.07%,-0.06%,1.22,-0.7,2,0,,1
Ramon Urias 3B,Sep 7,3,0,0,0,0,2,3,0.25,0.299,0.418,0.716,12,12,-0.058,0.76,0,-0.06%,-0.05%,1.02,-0.6,1,3,,1
Rougned Odor 2B,Sep 7,3,0,0,0,0,0,3,0.202,0.268,0.36,0.628,12,7,-0.059,0.78,0,-0.06%,-0.05%,1.05,-0.5,4,1,,1
Jorge Mateo SS,Sep 7,3,0,0,0,0,1,3,0.226,0.275,0.394,0.669,8,7,-0.036,0.48,0,-0.04%,-0.03%,0.65,-0.4,0,7,,1
Cedric Mullins CF,Sep 9,4,1,3,0,0,1,4,0.263,0.325,0.403,0.727,22,13,0.099,1.64,0.207,-0.11%,0.04%,1.23,0.3,2,0,CS,1
Adley Rutschman C,Sep 9,3,1,0,0,1,0,4,0.255,0.363,0.449,0.812,17,7,0.006,0.99,0.06,-0.05%,0.00%,0.74,-0.1,6,0,,1
Anthony Santander DH,Sep 9,3,1,0,0,1,1,4,0.253,0.332,0.463,0.795,16,9,0.063,1.15,0.098,-0.04%,0.03%,0.86,0.2,,,,1
Ryan Mountcastle 1B,Sep 9,3,0,0,0,1,0,4,0.245,0.293,0.431,0.724,17,10,-0.05,1.32,0.014,-0.06%,-0.02%,0.99,-0.4,9,0,,1
Gunnar Henderson SS,Sep 9,3,0,2,2,1,1,4,0.306,0.359,0.472,0.831,19,8,0.253,1.56,0.269,-0.02%,0.11%,1.17,1.7,1,5,2B,1
Ramon Urias 3B,Sep 9,2,0,0,0,1,0,4,0.249,0.301,0.415,0.716,13,6,0.007,1.15,0.057,-0.05%,0.00%,0.85,-0.1,1,3,HBP,1
Rougned Odor 2B,Sep 9,4,0,0,0,0,1,4,0.2,0.266,0.356,0.622,9,6,-0.156,1.61,0,-0.16%,-0.07%,1.21,-1.6,5,3,,1
Austin Hays LF,Sep 9,3,0,0,0,0,2,3,0.247,0.302,0.414,0.716,13,10,-0.096,1.26,0,-0.10%,-0.04%,0.94,-0.8,1,0,,1
Kyle Stowers RF,Sep 9,2,0,0,0,1,2,3,0.227,0.292,0.318,0.61,18,12,-0.026,0.79,0.02,-0.05%,-0.01%,0.59,-0.1,2,0,,1
Cedric Mullins CF,Sep 10,4,1,2,2,0,2,4,0.265,0.326,0.409,0.735,11,9,0.052,0.3,0.071,-0.02%,0.03%,0.24,1.4,2,0,HR,1
Adley Rutschman C,Sep 10,4,0,0,0,0,2,4,0.252,0.359,0.443,0.802,15,13,-0.026,0.26,0,-0.03%,-0.01%,0.21,-0.6,7,0,,1
Anthony Santander RF,Sep 10,3,0,1,0,0,1,3,0.254,0.332,0.462,0.795,17,12,-0.001,0.23,0.01,-0.01%,0.00%,0.19,-0.3,3,1,,1
Ryan Mountcastle 1B,Sep 10,4,0,2,1,0,0,4,0.247,0.294,0.432,0.726,14,8,-0.015,0.22,0.006,-0.02%,-0.01%,0.19,0.8,7,3,,1
Jesus Aguilar DH,Sep 10,4,0,0,0,0,1,4,0.23,0.278,0.376,0.654,13,10,-0.026,0.27,0,-0.03%,-0.01%,0.22,-0.8,,,,1
Gunnar Henderson 3B,Sep 10,4,1,1,0,0,0,4,0.3,0.349,0.45,0.799,10,7,-0.012,0.17,0.004,-0.02%,-0.01%,0.15,-0.2,2,1,,1
Ramon Urias 2B,Sep 10,3,1,1,0,0,1,3,0.249,0.301,0.417,0.718,7,6,0,0.18,0.011,-0.01%,0%,0.15,0.8,1,2,2B,1
Austin Hays LF,Sep 10,4,0,0,0,0,0,4,0.245,0.3,0.411,0.71,13,10,-0.027,0.27,0,-0.03%,-0.01%,0.23,-1.3,1,0,,1
Jorge Mateo SS,Sep 10,3,0,0,1,0,0,4,0.224,0.273,0.392,0.664,11,7,-0.017,0.17,0,-0.02%,-0.01%,0.14,-0.5,2,1,SF,1
Ryan McKenna CF,Sep 11,3,0,0,0,1,1,4,0.245,0.303,0.353,0.655,10,6,-0.164,1.75,0.015,-0.18%,-0.06%,1.08,-1,3,0,,1
Anthony Santander RF,Sep 11,4,0,1,0,0,3,4,0.254,0.332,0.461,0.792,15,12,-0.135,1.93,0.032,-0.17%,-0.05%,1.19,-0.7,2,0,,1
Ryan Mountcastle 1B,Sep 11,4,0,0,0,0,2,4,0.245,0.292,0.428,0.72,21,13,-0.198,1.91,0,-0.20%,-0.07%,1.18,-1.2,9,1,,1
Ramon Urias 3B,Sep 11,4,0,0,0,0,1,4,0.247,0.298,0.413,0.711,14,9,-0.14,1.4,0,-0.14%,-0.05%,0.86,-0.8,1,3,,1
Jesus Aguilar DH,Sep 11,2,0,0,0,0,1,2,0.229,0.277,0.374,0.651,8,4,-0.038,0.78,0,-0.04%,-0.01%,0.48,-0.3,,,,1
Austin Hays LF,Sep 11,3,0,2,0,1,0,4,0.248,0.303,0.412,0.716,13,5,-0.015,1.04,0.053,-0.07%,-0.01%,0.64,0.1,2,0,,1
Jorge Mateo SS,Sep 11,4,0,0,0,0,1,4,0.222,0.27,0.388,0.658,13,9,-0.184,1.73,0,-0.18%,-0.07%,1.07,-0.9,1,3,,1
Rougned Odor 2B,Sep 11,1,0,0,0,0,1,3,0.199,0.269,0.355,0.624,8,4,0.172,2.02,0.199,-0.03%,0.06%,1.25,0.8,2,3,"SB,2·HBP",1
Robinson Chirinos C,Sep 11,2,0,0,0,1,2,3,0.181,0.27,0.282,0.552,19,11,-0.026,1.87,0.084,-0.11%,-0.01%,1.16,0,7,0,,1
Cedric Mullins CF,Sep 13,4,0,0,0,0,1,5,0.263,0.324,0.405,0.73,10,7,-0.175,1.58,0.023,-0.20%,-0.06%,0.83,-1.5,2,0,"SB,HBP,GDP",1
Adley Rutschman C,Sep 13,4,1,2,0,1,0,5,0.254,0.361,0.446,0.807,20,10,0.045,0.99,0.084,-0.04%,0.01%,0.53,0.4,5,0,2B,1
Anthony Santander DH,Sep 13,5,0,0,0,0,1,5,0.251,0.329,0.456,0.785,17,12,-0.175,1.38,0,-0.18%,-0.06%,0.73,-1.6,,,,1
Ryan Mountcastle 1B,Sep 13,3,1,2,1,2,0,5,0.247,0.297,0.436,0.733,28,15,0.183,0.93,0.208,-0.03%,0.06%,0.49,1.5,7,2,HR,1
Gunnar Henderson 3B,Sep 13,5,1,2,1,0,2,5,0.304,0.36,0.457,0.817,26,15,0.084,1.13,0.187,-0.10%,0.03%,0.6,0.4,1,2,"2B,CS",1
Ramon Urias 2B,Sep 13,3,0,1,0,1,1,5,0.247,0.302,0.412,0.714,15,7,0.103,1.17,0.154,-0.05%,0.03%,0.62,0.8,4,3,HBP,1
Kyle Stowers LF,Sep 13,4,0,1,0,0,2,4,0.229,0.288,0.333,0.622,14,11,-0.063,1.31,0.065,-0.13%,-0.02%,0.69,-0.5,2,0,2B,1
Austin Hays RF,Sep 13,4,1,2,1,0,0,4,0.25,0.305,0.415,0.72,12,7,0.135,1.43,0.165,-0.03%,0.04%,0.76,1,3,0,2B,1
Jorge Mateo SS,Sep 13,4,0,1,0,0,2,4,0.222,0.27,0.387,0.657,16,13,-0.07,1.58,0.112,-0.18%,-0.02%,0.83,-0.7,1,4,,1
Austin Hays LF,Sep 14,5,0,1,0,0,1,5,0.249,0.304,0.415,0.719,17,11,0.046,0.74,0.102,-0.06%,0.02%,0.5,-0.4,2,0,2B,1
Adley Rutschman C,Sep 14,4,0,0,0,1,1,5,0.251,0.359,0.44,0.8,19,11,-0.092,0.73,0.009,-0.10%,-0.04%,0.49,-0.7,7,0,,1
Ryan Mountcastle 1B,Sep 14,4,0,0,0,0,2,5,0.245,0.296,0.432,0.728,25,17,0.007,0.67,0.033,-0.03%,0.00%,0.45,-0.3,11,0,HBP,1
Anthony Santander RF,Sep 14,4,0,1,0,1,0,5,0.251,0.329,0.455,0.784,26,14,-0.06,1.17,0.041,-0.10%,-0.02%,0.78,-0.3,1,0,,1
Ramon Urias 2B,Sep 14,4,1,1,0,0,0,4,0.247,0.301,0.411,0.712,9,7,-0.045,1.44,0.059,-0.10%,-0.02%,0.96,-0.4,2,3,,1
Jesus Aguilar DH,Sep 14,3,0,2,0,0,0,3,0.232,0.28,0.376,0.656,9,6,0.138,1.43,0.151,-0.01%,0.06%,0.96,1.1,,,,1
Ryan McKenna CF,Sep 14,2,0,0,0,0,0,2,0.241,0.299,0.348,0.646,7,4,-0.102,1.81,0,-0.10%,-0.04%,1.22,-1,3,0,,1
Gunnar Henderson 3B,Sep 14,4,1,2,4,0,0,4,0.32,0.37,0.52,0.89,13,6,0.382,1.93,0.404,-0.02%,0.15%,1.3,3.1,1,1,"3B,2B",1
Jorge Mateo SS,Sep 14,4,1,1,1,0,2,4,0.222,0.27,0.392,0.662,15,12,0.003,0.79,0.076,-0.07%,0.00%,0.53,0,0,6,HR,1
Cedric Mullins CF,Sep 16,4,1,1,0,0,1,4,0.265,0.326,0.41,0.736,16,11,0.049,1.03,0.119,-0.07%,0.03%,1.02,0.1,3,0,3B,1
Adley Rutschman C,Sep 16,4,1,1,2,0,2,4,0.251,0.358,0.447,0.805,17,11,0.095,0.83,0.141,-0.05%,0.06%,0.83,0.4,10,0,HR,1
Anthony Santander RF,Sep 16,4,0,0,0,0,2,4,0.249,0.327,0.451,0.778,17,12,-0.055,0.54,0,-0.06%,-0.03%,0.54,-0.8,1,0,,1
Ryan Mountcastle 1B,Sep 16,4,0,0,0,0,0,4,0.243,0.294,0.429,0.722,8,7,-0.051,0.52,0,-0.05%,-0.03%,0.52,-0.7,8,0,,1
Gunnar Henderson DH,Sep 16,4,1,2,1,0,1,4,0.333,0.379,0.574,0.953,14,11,-0.018,0.32,0.009,-0.03%,-0.01%,0.32,0.9,,,HR,1
Ramon Urias 3B,Sep 16,4,0,0,0,0,2,4,0.245,0.298,0.406,0.705,14,10,-0.048,0.47,0,-0.05%,-0.03%,0.47,-0.6,1,3,,1
Rougned Odor 2B,Sep 16,3,0,0,0,0,1,3,0.198,0.267,0.352,0.619,13,8,-0.054,0.72,0,-0.05%,-0.03%,0.72,-0.6,1,2,,1
Austin Hays LF,Sep 16,1,0,0,0,2,1,3,0.249,0.306,0.414,0.72,18,7,0.032,0.48,0.043,-0.01%,0.02%,0.48,0.4,0,0,,1
Jorge Mateo SS,Sep 16,3,0,1,0,0,1,3,0.223,0.27,0.392,0.662,10,7,-0.065,1.07,0.025,-0.09%,-0.04%,1.06,-0.3,0,2,GDP,1
Cedric Mullins CF,Sep 17,5,1,1,0,0,0,5,0.265,0.325,0.408,0.733,19,14,-0.109,1.08,0.036,-0.14%,-0.05%,0.87,-1,3,0,CS,1
Adley Rutschman C,Sep 17,4,0,2,0,1,0,5,0.254,0.361,0.448,0.809,29,18,0.025,0.74,0.066,-0.04%,0.01%,0.6,0.1,9,0,,1
Anthony Santander RF,Sep 17,5,1,2,0,0,0,5,0.25,0.328,0.452,0.78,13,8,0.069,0.81,0.134,-0.07%,0.03%,0.65,0.4,1,0,"2B,GDP",1
Jesus Aguilar 1B,Sep 17,2,0,0,0,0,2,3,0.231,0.278,0.374,0.653,14,11,-0.04,1.42,0.02,-0.06%,-0.02%,1.15,-0.4,5,0,,1
Gunnar Henderson SS,Sep 17,4,1,2,2,0,0,4,0.345,0.387,0.586,0.973,10,4,0.118,1.62,0.181,-0.06%,0.06%,1.31,1.5,3,4,2B,1
Terrin Vavra LF,Sep 17,4,0,2,1,0,0,4,0.273,0.344,0.345,0.689,17,10,0.001,1.45,0.125,-0.13%,0%,1.17,0.7,1,0,2B,1
Rougned Odor 2B,Sep 17,4,0,0,0,0,1,4,0.196,0.264,0.349,0.613,13,8,-0.184,1.4,0,-0.18%,-0.09%,1.13,-1.8,1,0,,1
Ramon Urias 3B,Sep 17,3,0,0,0,1,2,4,0.243,0.298,0.403,0.701,17,11,-0.038,1.07,0.017,-0.06%,-0.02%,0.86,-0.4,0,0,,1
